bno,id,title,bcontent,write_date,write_update_date,bcount
1,com.walmart.Greenlam,새로운 게시글 제목 1,"이 게시글은 데이터 생성을 위한 새로운 예시입니다. 게시글 번호 1의 내용은 테스트를 위해 작성되었으며, 길게 작성하여 실제 사용될 수 있는 게시글 형식에 맞게 작성되었습니다. 추가적인 정보는 포함되지 않았으며, 데이터베이스 용량 테스트 및 성능 테스트를 위한 가상의 데이터입니다. 유의미한 정보를 담고 있지 않으며 단순한 예시임을 유의하십시오.",2024-08-19,2024-03-24,640
2,com.wikia.Prodder,새로운 게시글 제목 2,"이 게시글은 데이터 생성을 위한 새로운 예시입니다. 게시글 번호 2의 내용은 테스트를 위해 작성되었으며, 길게 작성하여 실제 사용될 수 있는 게시글 형식에 맞게 작성되었습니다. 추가적인 정보는 포함되지 않았으며, 데이터베이스 용량 테스트 및 성능 테스트를 위한 가상의 데이터입니다. 유의미한 정보를 담고 있지 않으며 단순한 예시임을 유의하십시오.",2024-03-22,2024-09-12,801
3,com.nifty.Stringtough,새로운 게시글 제목 3,"이 게시글은 데이터 생성을 위한 새로운 예시입니다. 게시글 번호 3의 내용은 테스트를 위해 작성되었으며, 길게 작성하여 실제 사용될 수 있는 게시글 형식에 맞게 작성되었습니다. 추가적인 정보는 포함되지 않았으며, 데이터베이스 용량 테스트 및 성능 테스트를 위한 가상의 데이터입니다. 유의미한 정보를 담고 있지 않으며 단순한 예시임을 유의하십시오.",2024-01-05,2024-02-09,365
4,com.nifty.Stringtough,새로운 게시글 제목 4,"이 게시글은 데이터 생성을 위한 새로운 예시입니다. 게시글 번호 4의 내용은 테스트를 위해 작성되었으며, 길게 작성하여 실제 사용될 수 있는 게시글 형식에 맞게 작성되었습니다. 추가적인 정보는 포함되지 않았으며, 데이터베이스 용량 테스트 및 성능 테스트를 위한 가상의 데이터입니다. 유의미한 정보를 담고 있지 않으며 단순한 예시임을 유의하십시오.",2024-06-26,2023-11-20,624
5,com.phpbb.Viva,새로운 게시글 제목 5,"이 게시글은 데이터 생성을 위한 새로운 예시입니다. 게시글 번호 5의 내용은 테스트를 위해 작성되었으며, 길게 작성하여 실제 사용될 수 있는 게시글 형식에 맞게 작성되었습니다. 추가적인 정보는 포함되지 않았으며, 데이터베이스 용량 테스트 및 성능 테스트를 위한 가상의 데이터입니다. 유의미한 정보를 담고 있지 않으며 단순한 예시임을 유의하십시오.",2024-03-02,2024-07-25,779
6,com.forbes.Rank,새로운 게시글 제목 6,"이 게시글은 데이터 생성을 위한 새로운 예시입니다. 게시글 번호 6의 내용은 테스트를 위해 작성되었으며, 길게 작성하여 실제 사용될 수 있는 게시글 형식에 맞게 작성되었습니다. 추가적인 정보는 포함되지 않았으며, 데이터베이스 용량 테스트 및 성능 테스트를 위한 가상의 데이터입니다. 유의미한 정보를 담고 있지 않으며 단순한 예시임을 유의하십시오.",2024-10-01,2024-08-22,890
7,edu.berkeley.Flowdesk,새로운 게시글 제목 7,"이 게시글은 데이터 생성을 위한 새로운 예시입니다. 게시글 번호 7의 내용은 테스트를 위해 작성되었으며, 길게 작성하여 실제 사용될 수 있는 게시글 형식에 맞게 작성되었습니다. 추가적인 정보는 포함되지 않았으며, 데이터베이스 용량 테스트 및 성능 테스트를 위한 가상의 데이터입니다. 유의미한 정보를 담고 있지 않으며 단순한 예시임을 유의하십시오.",2024-07-21,2024-04-18,781
8,pl.google.Zaam-Dox,새로운 게시글 제목 8,"이 게시글은 데이터 생성을 위한 새로운 예시입니다. 게시글 번호 8의 내용은 테스트를 위해 작성되었으며, 길게 작성하여 실제 사용될 수 있는 게시글 형식에 맞게 작성되었습니다. 추가적인 정보는 포함되지 않았으며, 데이터베이스 용량 테스트 및 성능 테스트를 위한 가상의 데이터입니다. 유의미한 정보를 담고 있지 않으며 단순한 예시임을 유의하십시오.",2024-05-05,2023-11-24,652
9,gov.noaa.Zamit,새로운 게시글 제목 9,"이 게시글은 데이터 생성을 위한 새로운 예시입니다. 게시글 번호 9의 내용은 테스트를 위해 작성되었으며, 길게 작성하여 실제 사용될 수 있는 게시글 형식에 맞게 작성되었습니다. 추가적인 정보는 포함되지 않았으며, 데이터베이스 용량 테스트 및 성능 테스트를 위한 가상의 데이터입니다. 유의미한 정보를 담고 있지 않으며 단순한 예시임을 유의하십시오.",2024-01-16,2024-08-31,280
10,me.flavors.Regrant,새로운 게시글 제목 10,"이 게시글은 데이터 생성을 위한 새로운 예시입니다. 게시글 번호 10의 내용은 테스트를 위해 작성되었으며, 길게 작성하여 실제 사용될 수 있는 게시글 형식에 맞게 작성되었습니다. 추가적인 정보는 포함되지 않았으며, 데이터베이스 용량 테스트 및 성능 테스트를 위한 가상의 데이터입니다. 유의미한 정보를 담고 있지 않으며 단순한 예시임을 유의하십시오.",2024-09-26,2024-06-02,285
