bno,id,title,bcontent,write_date,write_update_date,bcount
1,user4,게시글 제목 1,"이 게시글은 예시 데이터를 생성하기 위해 작성되었습니다. 내용은 길게 생성되며, 다양한 정보와 의견을 포함하고 있습니다. 게시글 번호 1의 주제는 랜덤하게 설정되었으며, 사용자가 원하는 다양한 내용을 담을 수 있습니다. 이와 같은 게시글들은 보통 웹사이트나 커뮤니티에서 자주 볼 수 있는 형식이며, 실제 데이터를 기반으로 작성될 수 있습니다. 게시글은 내용이 길어질 수록 더 많은 정보를 전달하며, 이에 따라 조회수와 댓글 수도 증가할 수 있습니다.",2024-10-15,2024-01-19,542
2,user10,게시글 제목 2,"이 게시글은 예시 데이터를 생성하기 위해 작성되었습니다. 내용은 길게 생성되며, 다양한 정보와 의견을 포함하고 있습니다. 게시글 번호 2의 주제는 랜덤하게 설정되었으며, 사용자가 원하는 다양한 내용을 담을 수 있습니다. 이와 같은 게시글들은 보통 웹사이트나 커뮤니티에서 자주 볼 수 있는 형식이며, 실제 데이터를 기반으로 작성될 수 있습니다. 게시글은 내용이 길어질 수록 더 많은 정보를 전달하며, 이에 따라 조회수와 댓글 수도 증가할 수 있습니다.",2024-09-19,2024-04-28,491
3,user17,게시글 제목 3,"이 게시글은 예시 데이터를 생성하기 위해 작성되었습니다. 내용은 길게 생성되며, 다양한 정보와 의견을 포함하고 있습니다. 게시글 번호 3의 주제는 랜덤하게 설정되었으며, 사용자가 원하는 다양한 내용을 담을 수 있습니다. 이와 같은 게시글들은 보통 웹사이트나 커뮤니티에서 자주 볼 수 있는 형식이며, 실제 데이터를 기반으로 작성될 수 있습니다. 게시글은 내용이 길어질 수록 더 많은 정보를 전달하며, 이에 따라 조회수와 댓글 수도 증가할 수 있습니다.",2024-06-06,2024-04-16,916
4,user8,게시글 제목 4,"이 게시글은 예시 데이터를 생성하기 위해 작성되었습니다. 내용은 길게 생성되며, 다양한 정보와 의견을 포함하고 있습니다. 게시글 번호 4의 주제는 랜덤하게 설정되었으며, 사용자가 원하는 다양한 내용을 담을 수 있습니다. 이와 같은 게시글들은 보통 웹사이트나 커뮤니티에서 자주 볼 수 있는 형식이며, 실제 데이터를 기반으로 작성될 수 있습니다. 게시글은 내용이 길어질 수록 더 많은 정보를 전달하며, 이에 따라 조회수와 댓글 수도 증가할 수 있습니다.",2024-03-03,2024-06-01,276
5,user6,게시글 제목 5,"이 게시글은 예시 데이터를 생성하기 위해 작성되었습니다. 내용은 길게 생성되며, 다양한 정보와 의견을 포함하고 있습니다. 게시글 번호 5의 주제는 랜덤하게 설정되었으며, 사용자가 원하는 다양한 내용을 담을 수 있습니다. 이와 같은 게시글들은 보통 웹사이트나 커뮤니티에서 자주 볼 수 있는 형식이며, 실제 데이터를 기반으로 작성될 수 있습니다. 게시글은 내용이 길어질 수록 더 많은 정보를 전달하며, 이에 따라 조회수와 댓글 수도 증가할 수 있습니다.",2024-07-22,2024-03-26,270
6,user8,게시글 제목 6,"이 게시글은 예시 데이터를 생성하기 위해 작성되었습니다. 내용은 길게 생성되며, 다양한 정보와 의견을 포함하고 있습니다. 게시글 번호 6의 주제는 랜덤하게 설정되었으며, 사용자가 원하는 다양한 내용을 담을 수 있습니다. 이와 같은 게시글들은 보통 웹사이트나 커뮤니티에서 자주 볼 수 있는 형식이며, 실제 데이터를 기반으로 작성될 수 있습니다. 게시글은 내용이 길어질 수록 더 많은 정보를 전달하며, 이에 따라 조회수와 댓글 수도 증가할 수 있습니다.",2024-06-26,2024-08-12,409
7,user15,게시글 제목 7,"이 게시글은 예시 데이터를 생성하기 위해 작성되었습니다. 내용은 길게 생성되며, 다양한 정보와 의견을 포함하고 있습니다. 게시글 번호 7의 주제는 랜덤하게 설정되었으며, 사용자가 원하는 다양한 내용을 담을 수 있습니다. 이와 같은 게시글들은 보통 웹사이트나 커뮤니티에서 자주 볼 수 있는 형식이며, 실제 데이터를 기반으로 작성될 수 있습니다. 게시글은 내용이 길어질 수록 더 많은 정보를 전달하며, 이에 따라 조회수와 댓글 수도 증가할 수 있습니다.",2024-06-20,2024-03-12,564
8,user3,게시글 제목 8,"이 게시글은 예시 데이터를 생성하기 위해 작성되었습니다. 내용은 길게 생성되며, 다양한 정보와 의견을 포함하고 있습니다. 게시글 번호 8의 주제는 랜덤하게 설정되었으며, 사용자가 원하는 다양한 내용을 담을 수 있습니다. 이와 같은 게시글들은 보통 웹사이트나 커뮤니티에서 자주 볼 수 있는 형식이며, 실제 데이터를 기반으로 작성될 수 있습니다. 게시글은 내용이 길어질 수록 더 많은 정보를 전달하며, 이에 따라 조회수와 댓글 수도 증가할 수 있습니다.",2024-09-25,2023-11-16,181
9,user16,게시글 제목 9,"이 게시글은 예시 데이터를 생성하기 위해 작성되었습니다. 내용은 길게 생성되며, 다양한 정보와 의견을 포함하고 있습니다. 게시글 번호 9의 주제는 랜덤하게 설정되었으며, 사용자가 원하는 다양한 내용을 담을 수 있습니다. 이와 같은 게시글들은 보통 웹사이트나 커뮤니티에서 자주 볼 수 있는 형식이며, 실제 데이터를 기반으로 작성될 수 있습니다. 게시글은 내용이 길어질 수록 더 많은 정보를 전달하며, 이에 따라 조회수와 댓글 수도 증가할 수 있습니다.",2024-04-15,2024-07-16,635
10,user20,게시글 제목 10,"이 게시글은 예시 데이터를 생성하기 위해 작성되었습니다. 내용은 길게 생성되며, 다양한 정보와 의견을 포함하고 있습니다. 게시글 번호 10의 주제는 랜덤하게 설정되었으며, 사용자가 원하는 다양한 내용을 담을 수 있습니다. 이와 같은 게시글들은 보통 웹사이트나 커뮤니티에서 자주 볼 수 있는 형식이며, 실제 데이터를 기반으로 작성될 수 있습니다. 게시글은 내용이 길어질 수록 더 많은 정보를 전달하며, 이에 따라 조회수와 댓글 수도 증가할 수 있습니다.",2024-04-10,2024-05-09,47
