bno,id,title,bcontent,write_date,write_update_date,bcount
1,user18,게시글 제목 1,"이 게시글은 예시 데이터를 생성하기 위해 작성되었습니다. 내용은 길게 생성되며, 다양한 정보와 의견을 포함하고 있습니다. 게시글 번호 1의 주제는 랜덤하게 설정되었으며, 사용자가 원하는 다양한 내용을 담을 수 있습니다. 이와 같은 게시글들은 보통 웹사이트나 커뮤니티에서 자주 볼 수 있는 형식이며, 실제 데이터를 기반으로 작성될 수 있습니다. 게시글은 내용이 길어질 수록 더 많은 정보를 전달하며, 이에 따라 조회수와 댓글 수도 증가할 수 있습니다.",2023-12-10,2023-11-01,669
2,user3,게시글 제목 2,"이 게시글은 예시 데이터를 생성하기 위해 작성되었습니다. 내용은 길게 생성되며, 다양한 정보와 의견을 포함하고 있습니다. 게시글 번호 2의 주제는 랜덤하게 설정되었으며, 사용자가 원하는 다양한 내용을 담을 수 있습니다. 이와 같은 게시글들은 보통 웹사이트나 커뮤니티에서 자주 볼 수 있는 형식이며, 실제 데이터를 기반으로 작성될 수 있습니다. 게시글은 내용이 길어질 수록 더 많은 정보를 전달하며, 이에 따라 조회수와 댓글 수도 증가할 수 있습니다.",2024-06-14,2024-02-22,6
3,user14,게시글 제목 3,"이 게시글은 예시 데이터를 생성하기 위해 작성되었습니다. 내용은 길게 생성되며, 다양한 정보와 의견을 포함하고 있습니다. 게시글 번호 3의 주제는 랜덤하게 설정되었으며, 사용자가 원하는 다양한 내용을 담을 수 있습니다. 이와 같은 게시글들은 보통 웹사이트나 커뮤니티에서 자주 볼 수 있는 형식이며, 실제 데이터를 기반으로 작성될 수 있습니다. 게시글은 내용이 길어질 수록 더 많은 정보를 전달하며, 이에 따라 조회수와 댓글 수도 증가할 수 있습니다.",2024-01-15,2024-05-15,463
4,user20,게시글 제목 4,"이 게시글은 예시 데이터를 생성하기 위해 작성되었습니다. 내용은 길게 생성되며, 다양한 정보와 의견을 포함하고 있습니다. 게시글 번호 4의 주제는 랜덤하게 설정되었으며, 사용자가 원하는 다양한 내용을 담을 수 있습니다. 이와 같은 게시글들은 보통 웹사이트나 커뮤니티에서 자주 볼 수 있는 형식이며, 실제 데이터를 기반으로 작성될 수 있습니다. 게시글은 내용이 길어질 수록 더 많은 정보를 전달하며, 이에 따라 조회수와 댓글 수도 증가할 수 있습니다.",2024-03-02,2024-07-31,827
5,user20,게시글 제목 5,"이 게시글은 예시 데이터를 생성하기 위해 작성되었습니다. 내용은 길게 생성되며, 다양한 정보와 의견을 포함하고 있습니다. 게시글 번호 5의 주제는 랜덤하게 설정되었으며, 사용자가 원하는 다양한 내용을 담을 수 있습니다. 이와 같은 게시글들은 보통 웹사이트나 커뮤니티에서 자주 볼 수 있는 형식이며, 실제 데이터를 기반으로 작성될 수 있습니다. 게시글은 내용이 길어질 수록 더 많은 정보를 전달하며, 이에 따라 조회수와 댓글 수도 증가할 수 있습니다.",2024-01-05,2024-10-15,479
6,user16,게시글 제목 6,"이 게시글은 예시 데이터를 생성하기 위해 작성되었습니다. 내용은 길게 생성되며, 다양한 정보와 의견을 포함하고 있습니다. 게시글 번호 6의 주제는 랜덤하게 설정되었으며, 사용자가 원하는 다양한 내용을 담을 수 있습니다. 이와 같은 게시글들은 보통 웹사이트나 커뮤니티에서 자주 볼 수 있는 형식이며, 실제 데이터를 기반으로 작성될 수 있습니다. 게시글은 내용이 길어질 수록 더 많은 정보를 전달하며, 이에 따라 조회수와 댓글 수도 증가할 수 있습니다.",2024-07-29,2024-08-05,346
7,user9,게시글 제목 7,"이 게시글은 예시 데이터를 생성하기 위해 작성되었습니다. 내용은 길게 생성되며, 다양한 정보와 의견을 포함하고 있습니다. 게시글 번호 7의 주제는 랜덤하게 설정되었으며, 사용자가 원하는 다양한 내용을 담을 수 있습니다. 이와 같은 게시글들은 보통 웹사이트나 커뮤니티에서 자주 볼 수 있는 형식이며, 실제 데이터를 기반으로 작성될 수 있습니다. 게시글은 내용이 길어질 수록 더 많은 정보를 전달하며, 이에 따라 조회수와 댓글 수도 증가할 수 있습니다.",2023-11-20,2024-02-07,655
8,user9,게시글 제목 8,"이 게시글은 예시 데이터를 생성하기 위해 작성되었습니다. 내용은 길게 생성되며, 다양한 정보와 의견을 포함하고 있습니다. 게시글 번호 8의 주제는 랜덤하게 설정되었으며, 사용자가 원하는 다양한 내용을 담을 수 있습니다. 이와 같은 게시글들은 보통 웹사이트나 커뮤니티에서 자주 볼 수 있는 형식이며, 실제 데이터를 기반으로 작성될 수 있습니다. 게시글은 내용이 길어질 수록 더 많은 정보를 전달하며, 이에 따라 조회수와 댓글 수도 증가할 수 있습니다.",2024-05-25,2024-10-15,773
9,user10,게시글 제목 9,"이 게시글은 예시 데이터를 생성하기 위해 작성되었습니다. 내용은 길게 생성되며, 다양한 정보와 의견을 포함하고 있습니다. 게시글 번호 9의 주제는 랜덤하게 설정되었으며, 사용자가 원하는 다양한 내용을 담을 수 있습니다. 이와 같은 게시글들은 보통 웹사이트나 커뮤니티에서 자주 볼 수 있는 형식이며, 실제 데이터를 기반으로 작성될 수 있습니다. 게시글은 내용이 길어질 수록 더 많은 정보를 전달하며, 이에 따라 조회수와 댓글 수도 증가할 수 있습니다.",2024-08-08,2023-11-27,23
10,user5,게시글 제목 10,"이 게시글은 예시 데이터를 생성하기 위해 작성되었습니다. 내용은 길게 생성되며, 다양한 정보와 의견을 포함하고 있습니다. 게시글 번호 10의 주제는 랜덤하게 설정되었으며, 사용자가 원하는 다양한 내용을 담을 수 있습니다. 이와 같은 게시글들은 보통 웹사이트나 커뮤니티에서 자주 볼 수 있는 형식이며, 실제 데이터를 기반으로 작성될 수 있습니다. 게시글은 내용이 길어질 수록 더 많은 정보를 전달하며, 이에 따라 조회수와 댓글 수도 증가할 수 있습니다.",2024-06-15,2024-10-17,88
